id	Kanji	JLPT-test	"Name of Radical"	"Translation of On"	"Translation of Kun"
1080	図	4	Kunigamae	"drawing, plan, figure, cut, chart, diagram, illustration, graph"	"measure, gauge, weigh; fathom, sound; compute, estimate; plan, devise, scheme; counsel with; have in mind; aim at; deceive, impose on"
1081	水	5	"Mizu, Sanzui, Shitamizu"	"water; ice water; Wednesday"	water
1105	世	4	Ichi	"generation; world. age, counter for kings of the same name"	"world, society, public; life, existence, career, life-time; age, era, generation, times; reign"
1106	正	4	Tomeru	"right, righteousness, justice; original; plus, positive; genuine. just; punctual; senior. Regular"	"correct; adjust; reform; redress, straighten; amend. right, righteous, just; honest, truthful, proper, lawful; healthy; moral; straight; straightforward; perfect "
1107	生	5	Umareru	"birth; life, existence, living; subsistence; student "	"grow, spring up; cut (teeth). cultivate, wear (a beard). revive, resuscitate; restore to life; let live, spare a life; make the most of; give life to; stet. keep alive; arrange flowers (in a vase); living. live, subsist, exist; be enlivened; be safe (on first). be born. bear, give birth to, breed, spawn; produce, yield (interest). raw, uncooked, fresh; unripe; half-boiled; rare; hard cash; impertinent, conceited; inexperienced; (beer) on tap; crude (rubber), unprocessed. pure, undiluted, genuine; raw, crude "
1109	西	5	Nishi	west	west
1115	青	4	"Ao, Aohen"	"blue, green; green light"	"blue, green; green light, pale; unripe, green"
1138	夕	4	Yuube	evening	evening
1141	赤	4	Aka	"red, crimson, scarlet"	"red, crimson, scarlet, Communist, Red. become red. blush, redden"
1154	切	4	"Katana, Rittoo"	"cut, chop, hash; carve; saw; clip, shear; slice, strip; fell, cut down; punch; sever (connections); pause, break off; disconnect, turn off; hang up; cross (a street); discount, sell below cost; shake (water) off"	"cut, chop, hash; carve; saw; clip, shear; slice, strip; fell, cut down; punch; sever (connections); pause, break off; disconnect, turn off; hang up; cross (a street); discount, sell below cost; shake (water) off. cut well, be sharp; break, snap; wear out; be injured; burst, collapse; break off, be disconnected; be out of; expire; sever (connections) with; sharp, shrewd; less than "
1166	千	5	Juu	"thousand, many"	"thousand, many"
1167	川	5	Magarigawa	"river, stream, brook"	"river, stream, brook"
1170	先	5	Hitoashi	"the future; priority, precedence"	"point, tip, end; nozzle; head (of a line); the first priority; the future; objective, destination; sequel, remainder; the other party; future "
1197	前	5	"Katana, Rittoo"	before	"front, fore part; head (of a line); presence; ago, before; previously; (five minutes) to "
1219	早	4	"Nichi, Nichihen"	"quick, fast, speedy; brisk, prompt; early; premature"	"quick, fast, speedy; brisk, prompt; early; premature. hasten, precipitate, accelerate, expedite; advance (the date). be hasty, be rash"
1221	走	4	"Hashiru, Soonyoo"	"run, rush, flee; turn to, become; go to excess"	"run, rush, flee; turn to, become; go to excess"
1226	送	4	Shinnyoo	sending	"send, ship; transmit; remit; see off; see home, escort; spend (one's) time, live (a life); add"
1263	足	4	"Ashi, Ashihen"	"foot; leg; counter for pairs of footwear"	"foot; leg; paw; flipper, tentacles, arms; walk, step, pace, speed; footing; draft (of a ship); foot (of a mountain); trace; deficit, shortage. money. be sufficient, suffice; serve, answer, will do (for something); be worth, deserve; be satisfied; qualify. add to, add up; make up for; make good; supply, supplement"
1272	族	4	"Hoo, Hoohen"	"family, relatives, clan, tribe, race"	-
1285	多	4	Yuube	much	"many; copious, abundant; much; frequent"
1295	体	4	"Hito, Ninben, Hitoyane"	"the body; substance, object; reality; style, form; image counter. appearance, air; condition, state"	"body, health"
1297	待	4	Gyooninben	waiting	"wait, wait for; expect, watch for; depend on; treat, deal with"
